Name,Birthplace,Arrival Point,Birthdate,Gender,Position,Place of Death,Date of Death,Pic,Site,Primary,Place,Coordinates
Marie Blanc,Friedrichsdorf,Monaco,23/09/1833,F,Financier,Moutiers,25/07/1881,http://upload.wikimedia.org/wikipedia/commons/d/db/Marie_Charlotte_Hensel_%28%C3%A9pouse_Blanc%29.jpg,,Y,France,"48.8567, 2.3508"
Elsa Maxwell,Keokuk,Monaco,24/05/1883,F,Consultant,New York,01/11/1963,https://upload.wikimedia.org/wikipedia/commons/d/d8/Maxwell%2C_Elsie_-_by_Carl_van_Vechten.jpg,,Y,Friedrichsdorf,"50.255556, 8.639722"
Gerald Murphy,Boston,Monaco,25/03/1888,M,"Tourist, Artist",New York,17/10/1964,http://www.dandyism.net/wp-content/uploads/2008/11/automotive-ball-400-w.jpg,,Y,Galicia,"42.5, -8.1"
La Belle Otero,Galicia,Monaco,04/11/1868,F,Artist,Nice,12/04/1965,https://upload.wikimedia.org/wikipedia/en/a/a8/La_Belle_Otero_-_1905_Postcard.jpg,,Y,Geneva,"46.2, 6.15"
Alice Heine,New Orleans,Monaco,1858,F,Aristocrat,Paris,22/12/1925,http://upload.wikimedia.org/wikipedia/commons/8/89/Princess_Alice_of_Monaco_15636v.jpg,,Y,Germany,"52.516667, 13.383333"
Anton Dolin,Slinfold,Monaco,27/07/1904,M,Artist,Paris,25/11/1983,http://upload.wikimedia.org/wikipedia/commons/d/d0/Anton_Dolin.jpg,,Y,Hertfordshire,"51.9, -0.2"
Grimaldi Albert I,Paris,Monaco,13/11/1848,M,Aristocrat,Paris,22/06/1922,http://upload.wikimedia.org/wikipedia/en/8/81/AlbertI.jpg,,Y,Karachi,"24.86, 67.01"
Grimaldi Florestan I,Paris,Monaco,10/10/1785,M,Aristocrat,Paris,20/06/1856,http://upload.wikimedia.org/wikipedia/commons/d/da/FlorestanI-1-.png,,Y,Keokuk,"40.4025, -91.394444"
Grimaldi Pierre,Morbihan,Monaco,24/10/1895,M,Aristocrat,Paris,10/11/1964,http://upload.wikimedia.org/wikipedia/en/0/0c/Pierre_de_Polignac.jpg,,Y,Lanarkshire,"55.6, -3.783333"
Grimaldi Princesse Antoinette de Merode,Brussels,Monaco,28/09/1828,F,Aristocrat,Paris,10/02/1864,http://upload.wikimedia.org/wikipedia/commons/9/92/Antoinette_de_Merode.jpg,,Y,Laeken,"50.866667, 4.35"
Grimaldi Princesse Charlotte Duchess of Valentois,Constantine,Monaco,30/09/1898,F,Aristocrat,Paris,17/11/1977,https://upload.wikimedia.org/wikipedia/en/5/59/Princess_Charlotte_of_Monaco.jpg,,Y,Leeuwarden,"53.2, 5.783333"
Gustave Dore,Strasbourg,Monaco,01/06/1832,M,Artist,Paris,23/01/1883,https://upload.wikimedia.org/wikipedia/commons/6/6a/Dor%C3%A9_by_Nadar_1867_cropped.jpg,,Y,London,"51.507222, -0.1275"
Honore de Balzac,Tours,Monaco,20/05/1799,M,Author,Paris,18/08/1850,http://upload.wikimedia.org/wikipedia/commons/6/68/Honoré_de_Balzac_%281842%29.jpg,,N,Malaga,"36.719444, -4.42"
Jacques Benazet,Foix,Monaco,03/12/1778,M,Financier,Paris,13/03/1848,http://www.stadtwiki-baden-baden.de/w/images/5/51/JacquesBenazet.jpg,,N,Marchais Aisne,"49.5, 3.5"
Louise Blanc,Paris,Monaco,1854,F,Manager,Paris,1911,http://www.marcelproust.it/imagg/radziwill_principessa.jpg,,Y,Minsk,"53.9, 27.566667"
Marie Juliette Louvet,Pierreval,Monaco,09/05/1867,F,Aristocracy,Paris,24/09/1930,http://upload.wikimedia.org/wikipedia/commons/d/d4/JaneAustenSilhouette.png,,Y,Monaco,"43.716667, 7.416667"
Mata Hari,Leeuwarden,Monaco,07/08/1876,F,Artist,Paris,15/10/1917,http://upload.wikimedia.org/wikipedia/commons/4/41/Mata_Hari_2.jpg,,Y,Morbihan,"47.833333, -2.833333"
Roland Bonaparte,Paris,Monaco,19/05/1858,M,Aristocrat,Paris,14/04/1924,http://upload.wikimedia.org/wikipedia/en/4/43/Prince_Roland_Bonaparte_3641567004_c517894947_o.jpg,,Y,Moscow,"55.75, 37.616667"
Sarah Bernhardt,Paris,Monaco,22/10/1844,F,Artist,Paris,26/03/1923,http://upload.wikimedia.org/wikipedia/commons/1/11/Sarah_Bernhardt_by_Paul_Nadar_%28crop%29.jpg,,Y,Mougins,"43.6008, 6.9956"
Marie Félix Blanc,Paris,Monaco,22/12/1859,F,"Manager, Aristocrat",Saint Cloud,01/08/1882,http://upload.wikimedia.org/wikipedia/commons/4/44/Marie_Charlotte_Blanc.jpg,,Y,Moutiers,"45.4858, 6.5344"
Serge Diaghilev,Chudovsky,Monaco,31/03/1872,M,"Artist, Consultant",Venice,19/08/1929,http://upload.wikimedia.org/wikipedia/commons/9/97/Sergei_Diaghilev_photo.jpg,,Y,Mugla,"37.216667, 28.366667"
Albert Aubert,France,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,New Orleans,"29.964722, -90.070556"
Camille Blanc,Paris,Monaco,1847,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Portrait_Camille_Blanc.jpg/220px-Portrait_Camille_Blanc.jpg,,Y,New York,"40.67, -73.94"
Charles Garnier,Paris,Monaco,06/11/1825,M,"Artist, Consultant",,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Charles_Garnier_by_Nadar_-_Leniaud_2003_p142.jpg,,Y,Nice,"43.7034, 7.2663"
Charles Wells,Hertfordshire,Monaco,01/01/1841,M,Gambler,,,http://www.promote-casino.com/wp-content/uploads/2011/10/Charles-Deville-Wells.jpg,,Y,Paris,"48.8567, 2.3508"
Claude Blanc,Courthezon,Monaco,,M,,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,N,Philadelphia,"39.95, -75.166667"
Coco Chanel,Saumur,Monaco,19/07/1883,F,Artist,,,https://upload.wikimedia.org/wikipedia/en/3/30/Coco_Chanel%2C_1920.jpg,,Y,Pierreval,"49.5433, 1.2572"
Colette,Yonne,Monaco,28/01/1873,F,Artist,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/SidonieGabrielleColette.jpg,,Y,Prague,"50.083333, 14.416667"
Constantin Radziwill,Minsk,Monaco,31/07/1850,M,Financier,,,http://www.marcelproust.it/imagg/radziwill_constantin.jpg,,Y,Py,"42.4967, 2.3514"
Consuelo Vanderbilt,New York,Monaco,02/03/1877,F,Aristocrat,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Consuelo_Vanderbilt2.jpg,,Y,Reims,"49.2628, 4.0347"
Duc de Valmy,Paris,Monaco,14/03/1802,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Rome,"41.9, 12.483333"
Edith Wharton,New York,Monaco,24/01/1862,F,Artist,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Edith_Newbold_Jones_Wharton.jpg,,Y,Rouen,"49.44, 1.1"
Edmond Blanc,Paris,Monaco,22/02/1856,M,Financier,,1920,https://upload.wikimedia.org/wikipedia/commons/0/05/Edmond_Blanc.jpg,,Y,Saint Cloud,"48.84, 2.22"
Eugene Marquet,Monaco,Monaco,1864,M,Monegasque,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Sangerville,"45.123889, -69.310278"
Eynaud,Paris,Monaco,,M,Manager,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Saumur,"47.26, -0.0769"
Francois Blanc,Courthezon,Monaco,12/12/1806,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/5/54/Portrait_de_Fran%C3%A7ois_Blanc.jpg,,Y,Slinfold,"51.109167, -0.187222"
Francois Lefebvre,Paris,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,St. Petersburg,"59.95, 30.3"
Henri Wagatha,Germany,Monaco,,M,Manager,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Strasbourg,"48.58, 7.75"
Joseph Jagger,Yorkshire,Monaco,01/09/1830,M,Gambler,,1892,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Tehran,"35.696111, 51.423056"
Jules Laurent Dutrou,Paris,Monaco,16/04/1819,M,Consultant,,24/04/1885,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Tours,"47.3936, 0.6892"
Leon Barthou,Paris,Monaco,,M,Manager,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Venice,"45.4375, 12.335833"
Louis Blanc,Courthezon,Monaco,12/12/1806,M,Financier,,01/01/1852,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,N,Washington,"38.895111, -77.036667"
Ludwig Jacobi,Germany,Monaco,,M,Consultant,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Yonkers,"40.941389, -73.864444"
Magdeleine-Victoire Huguelin,,Monaco,,F,Spouse,,01/01/1852,http://upload.wikimedia.org/wikipedia/commons/d/d4/JaneAustenSilhouette.png,,N,Yonne,"47.8, 3.566667"
Marie Therese Blanc,Courthezon,Monaco,,F,,,,http://upload.wikimedia.org/wikipedia/commons/d/d4/JaneAustenSilhouette.png,,N,Yorkshire,"53.75, -1.666667"
Napoleon Langlois,France,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,,
Pierre Auguste Daval,France,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,y,,
Pierre Polovtsoff,St. Petersburg,Monaco,1874,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,,
Rene Leon,Paris,Monaco,1890,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,,
